Date,Close,High,Low,Open,Volume
,META,META,META,META,META
2025-07-17,701.4099731445312,705.9000244140625,697.1099853515625,704.3900146484375,11803300
2025-07-18,704.280029296875,704.7100219726562,691.6500244140625,702.1900024414062,12779800
2025-07-21,712.969970703125,717.0,705.760009765625,706.7999877929688,9404400
2025-07-22,704.8099975585938,716.5999755859375,701.4099731445312,716.1900024414062,8921100
2025-07-23,713.5800170898438,714.6300048828125,704.9299926757812,706.3699951171875,8771600
2025-07-24,714.7999877929688,723.6199951171875,714.0,717.0499877929688,10920800
2025-07-25,712.6799926757812,720.6500244140625,711.9000244140625,716.9199829101562,8271700
2025-07-28,717.6300048828125,724.739990234375,712.6799926757812,715.2000122070312,8715700
2025-07-29,700.0,724.469970703125,699.9099731445312,720.0,13267000
2025-07-30,695.2100219726562,708.5,691.2000122070312,708.0900268554688,27077300
2025-07-31,773.4400024414062,784.75,765.510009765625,775.2000122070312,38831100
2025-08-01,750.010009765625,766.0,745.3099975585938,760.72998046875,19028700
2025-08-04,776.3699951171875,776.8499755859375,758.4099731445312,760.0,15801700
2025-08-05,763.4600219726562,783.1300048828125,763.0,776.4500122070312,11640300
2025-08-06,771.989990234375,773.6400146484375,760.4600219726562,770.0,9733900
2025-08-07,761.8300170898438,775.0,759.5499877929688,773.489990234375,9019700
2025-08-08,769.2999877929688,769.9000244140625,758.5800170898438,762.75,7320800
2025-08-11,765.8699951171875,773.4600219726562,764.6699829101562,770.0800170898438,7612000
2025-08-12,790.0,793.6699829101562,772.4299926757812,773.0,14563100
2025-08-13,780.0800170898438,795.4600219726562,778.22998046875,791.1500244140625,8811800
2025-08-14,782.1300048828125,787.8099975585938,772.510009765625,777.8800048828125,8116200
2025-08-15,785.22998046875,796.25,780.8200073242188,784.1500244140625,13363500
