Date,Close,High,Low,Open,Volume
,AMZN,AMZN,AMZN,AMZN,AMZN
2025-07-17,223.8800048828125,224.5,222.50999450683594,223.32000732421875,31855800
2025-07-18,226.1300048828125,226.39999389648438,222.97999572753906,225.13999938964844,37833800
2025-07-21,229.3000030517578,229.69000244140625,225.64999389648438,225.83999633789062,40297600
2025-07-22,227.47000122070312,230.0,226.35000610351562,229.67999267578125,37483700
2025-07-23,228.2899932861328,228.7899932861328,227.08999633789062,228.47000122070312,28294900
2025-07-24,232.22999572753906,236.0,228.63999938964844,229.1699981689453,42902300
2025-07-25,231.44000244140625,232.47999572753906,231.17999267578125,232.22000122070312,28712100
2025-07-28,232.7899932861328,234.2899932861328,232.25,233.35000610351562,26300100
2025-07-29,231.00999450683594,234.72000122070312,230.30999755859375,234.14999389648438,33716200
2025-07-30,230.19000244140625,231.8000030517578,229.2899932861328,231.63999938964844,32993300
2025-07-31,234.11000061035156,236.52999877929688,231.39999389648438,235.77000427246094,104357300
2025-08-01,214.75,220.44000244140625,212.8000030517578,217.2100067138672,122258800
2025-08-04,211.64999389648438,217.44000244140625,211.4199981689453,217.39999389648438,77890100
2025-08-05,213.75,216.3000030517578,212.8699951171875,213.0500030517578,51505100
2025-08-06,222.30999755859375,222.64999389648438,213.74000549316406,214.6999969482422,54823000
2025-08-07,223.1300048828125,226.22000122070312,220.82000732421875,221.0,40603500
2025-08-08,222.69000244140625,223.8000030517578,221.8800048828125,223.13999938964844,32970500
2025-08-11,221.3000030517578,223.0500030517578,220.39999389648438,221.77999877929688,31646200
2025-08-12,221.47000122070312,223.5,219.0500030517578,222.22999572753906,37185800
2025-08-13,224.55999755859375,224.9199981689453,222.0,222.0,36508300
2025-08-14,230.97999572753906,233.11000061035156,227.02000427246094,227.39999389648438,61545800
2025-08-15,231.02999877929688,234.0800018310547,229.80999755859375,232.5800018310547,39605800
