Symbol,Date,Open,High,Low,Close,Volume
AAPL,2025-08-11 00:00:00-04:00,227.9199982,229.5599976,224.7599945,227.1799927,61725300
MSFT,2025-08-11 00:00:00-04:00,522.2999878,527.5900269,519.7199707,521.7700195,20180800
TSLA,2025-08-11 00:00:00-04:00,335,346.6400146,334.1499939,339.0299988,104967300
ETH-USD,2025-08-12 00:00:00+00:00,4224.931152,4329.070313,4224.931152,4290.901367,45919043584
SOL-USD,2025-08-12 00:00:00+00:00,174.9624023,176.6390076,174.1755981,174.8621368,5873055232
XRP-USD,2025-08-12 00:00:00+00:00,3.134339333,3.175077915,3.125708342,3.132911682,8432942592
