Date,Close,High,Low,Open,Volume
,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
2025-08-08,116688.7265625,117689.203125,115917.4609375,117505.5,59713005166
2025-08-09,116500.359375,117906.609375,116363.8359375,116678.2734375,54004312429
2025-08-10,119306.7578125,119320.7109375,116485.1640625,116497.71875,64755458694
2025-08-11,118731.4453125,122321.09375,118159.03125,119306.8125,90528784177
2025-08-12,120172.90625,120302.46875,118228.71875,118717.6640625,72803657984
2025-08-13,123344.0625,123682.453125,118939.6328125,120168.9765625,90904808795
2025-08-14,118359.578125,124457.1171875,117254.8828125,123339.3984375,104055627395
