Date,Close,High,Low,Open,Volume
,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
2025-08-08,4009.848876953125,4068.84765625,3882.443115234375,3914.110595703125,45460293892
2025-08-09,4263.59912109375,4323.76123046875,4007.709228515625,4009.150634765625,45279715746
2025-08-10,4254.2177734375,4332.21044921875,4163.9404296875,4263.552734375,36173931367
2025-08-11,4226.966796875,4362.0927734375,4168.875,4254.2314453125,49989853803
2025-08-12,4590.9248046875,4634.05517578125,4222.3623046875,4227.20703125,57237189036
2025-08-13,4756.27587890625,4784.6689453125,4566.23876953125,4590.65771484375,62550014642
2025-08-14,4548.16650390625,4788.5517578125,4461.28173828125,4756.04345703125,75681632806
